"_","Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastViewedDate","LastReferencedDate","Organization_Name__c","Designation__c","Start_Date__c","End_Date__c","Description__c","Logo_URL__c","Image_URL__c","Display_Order__c","Skill__c"
"[Experience__c]","a09gL000009Qk0TQAS","005gL00000FcuTZQAZ","false","EX-0002","2026-03-04T18:01:23.000+0000","005gL00000FcuTZQAZ","2026-03-07T19:11:26.000+0000","005gL00000FcuTZQAZ","2026-03-07T19:11:26.000+0000","2026-03-07T19:11:26.000+0000","2026-03-07T19:11:26.000+0000","Accenture, India","Salesforce Developer","2024-11-27","","Worked on the Empower (Financial Services Cloud) project where I designed scalable solutions using Apex, Triggers, Flows, and Lightning Web Components (LWC) to support multiple business processes. Built bulkified trigger frameworks capable of handling large data volumes and implemented reusable UI components to streamline internal testing workflows. Improved data quality using validation, duplicate, and matching rules while externalizing logic with Custom Metadata for easier configuration. Recognized as Best Performer (2025) for delivering high-quality features and resolving critical pre-production defects across multiple releases.","/sfsites/c/resource/Resource_for_Portfolio/Images/accenture.png","/sfsites/c/resource/AccentureAward","1","Salesoforce, Apex, FLows, Postman, Async Apex, REST API Integration, Jira"
"[Experience__c]","a09gL000009QoIXQA0","005gL00000FcuTZQAZ","false","EX-0001","2026-03-04T17:59:13.000+0000","005gL00000FcuTZQAZ","2026-03-07T19:11:43.000+0000","005gL00000FcuTZQAZ","2026-03-07T19:11:43.000+0000","2026-03-07T19:11:43.000+0000","2026-03-07T19:11:43.000+0000","Nokia Solutions and Network","Student Intern","2022-07-04","2023-06-02","Innovated UI elements with React and JavaScript, implemented Behavior-Driven Development and Cypress for rigorous testing, and actively engaged in code reviews, debugging, and quality assurance for successful product launches.","/sfsites/c/resource/Resource_for_Portfolio/Images/nokia.webp","/sfsites/c/resource/NokiaIntern","2","Jira, BDD, JavaScript, Java, Postman"
